Дата,Kлики,Показы,CTR,Позиция
2026-03-27,0,0,,
2026-03-28,1,8,12.5%,1.2
2026-03-29,4,79,5.06%,7.1
2026-03-30,3,39,7.69%,12.2
2026-03-31,1,34,2.94%,12.2
2026-04-01,1,60,1.67%,9.5
2026-04-02,1,34,2.94%,11.4
2026-04-03,0,43,0%,13.4
2026-04-04,1,80,1.25%,8
2026-04-05,1,52,1.92%,22.4
2026-04-06,0,46,0%,9.8
2026-04-07,0,177,0%,27.2
2026-04-08,0,69,0%,23.7
2026-04-09,0,185,0%,15.2
2026-04-10,1,173,0.58%,19.4
2026-04-11,0,175,0%,21.5
2026-04-12,2,168,1.19%,21
2026-04-13,1,196,0.51%,18.3
2026-04-14,1,222,0.45%,16.1
2026-04-15,1,186,0.54%,17.7
2026-04-16,2,164,1.22%,18.9
2026-04-17,2,216,0.93%,18.6
2026-04-18,0,187,0%,20.1
2026-04-19,0,204,0%,17.7
2026-04-20,1,193,0.52%,16
2026-04-21,1,175,0.57%,21.8
2026-04-22,0,168,0%,25
2026-04-23,1,185,0.54%,24.5
2026-04-24,0,192,0%,24.1
2026-04-25,2,244,0.82%,22.3
2026-04-26,0,236,0%,20.9
2026-04-27,1,254,0.39%,20.3
2026-04-28,2,164,1.22%,15.7
