Страна,Kлики,Показы,CTR,Позиция
Германия,30,4306,0.7%,20.12
Румыния,1,1,100%,1
Австрия,0,69,0%,8.06
США,0,61,0%,3.72
Украина,0,55,0%,2.62
Швейцария,0,26,0%,9.69
Канада,0,13,0%,3
Бразилия,0,7,0%,2.71
Нидерланды,0,7,0%,7.29
Чехия,0,5,0%,5.6
Италия,0,5,0%,15.2
Польша,0,4,0%,7.5
Сингапур,0,3,0%,10.67
Франция,0,3,0%,16.33
Индия,0,3,0%,21.67
Филиппины,0,2,0%,1.5
Косово,0,2,0%,2
Великобритания,0,2,0%,2.5
Россия,0,2,0%,3
Колумбия,0,2,0%,3.5
Мексика,0,2,0%,3.5
Вьетнам,0,2,0%,5.5
Таиланд,0,2,0%,43
Бангладеш,0,1,0%,1
Бахрейн,0,1,0%,1
Багамы,0,1,0%,1
Кюрасао,0,1,0%,1
Венгрия,0,1,0%,1
Словения,0,1,0%,1
Неизвестный регион,0,1,0%,1
Ангола,0,1,0%,2
Албания,0,1,0%,2
Аргентина,0,1,0%,2
Израиль,0,1,0%,2
Австралия,0,1,0%,3
Кипр,0,1,0%,3
Финляндия,0,1,0%,3
Шри-Ланка,0,1,0%,3
Китай,0,1,0%,4
Камбоджа,0,1,0%,4
Эквадор,0,1,0%,5
Малайзия,0,1,0%,5
Япония,0,1,0%,7
Ирландия,0,1,0%,8
Боливия,0,1,0%,10
Нигерия,0,1,0%,18
Испания,0,1,0%,48
