"Ключевое слово",Сложность,Частотность,"Интент запроса","Элементы поиска",Релевантность,CPC,Конкуренция
"grafik tattoo münchen",7,0,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Искать здесь",,0,0
"tattoo münchen",41,2400,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",10,0.74,0.48
"tattoo artist",53,1800,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",8,0.69,0.14
"tattoo studios",12,990,"L, C","Результаты карт, Рейтинги, Похожие запросы, Картинки, Искать здесь, Related searches",12,0.69,0.24
"fineline tattoo münchen",10,590,"L, C","Рейтинги, Видео, Похожие запросы, Картинки, GBP, AI Overview, Related searches",7,0.54,0.59
"unlimited bodyart tattoos piercing tattoostudio münchen",7,590,"L, N","Рейтинги, Ссылки сайта, Видео, Похожие запросы, Картинки, GBP, Related searches",23,0,0.03
"tattoo beratung",2,480,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",11,0.51,0.13
"chaos crew tattoo studio munich",7,390,"L, C","Рейтинги, Видео, Картинки, GBP, Related searches",6,0,0.03
"chaos crew tattoo münchen",5,390,"L, C","Рейтинги, Видео, Похожие запросы, Картинки, GBP, Related searches, Изображения",6,0,0.03
"gute tattoo studios in der nähe",8,390,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",6,0.52,0.53
"chaos-crew tattoo studio münchen",8,390,"L, C","Рейтинги, Видео, Похожие запросы, Картинки, GBP, Related searches, Изображения",6,0,0.03
"glorious art tattoo studio münchen",8,390,I,"Рейтинги, Видео, Похожие запросы, Картинки, Сеть знаний, Related searches",6,0.19,0.08
"munich tattoo",7,320,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Искать здесь, Related searches, Изображения",36,0.76,0.56
"tattoo bayern münchen",10,320,I,"Рейтинги, Видео, Похожие запросы, Картинки, Related searches",7,0,0.03
"surface tattoo studio münchen",10,320,"L, N","Рейтинги, Ссылки сайта, Похожие запросы, Картинки, GBP, Related searches",6,0,0.04
"tattoo munich",11,320,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",9,0.76,0.56
"tattoo noir münchen",7,260,"L, N","Рейтинги, Ссылки сайта, Видео, Похожие запросы, Картинки, GBP, Related searches",26,0.69,0.3
"prime ink münchen",10,260,"L, N","Рейтинги, Ссылки сайта, Видео, Похожие запросы, Картинки, GBP, Related searches",12,0.09,0.28
"kleine welt tattoo",10,170,"L, N","Рейтинги, Ссылки сайта, Видео, Похожие запросы, Картинки, GBP, Related searches",11,0,0.08
