"Ключевое слово",Сложность,Частотность,"Интент запроса","Элементы поиска",Релевантность,CPC,Конкуренция
"japanisches tattoo münchen",9,0,"L, C","Результаты карт, Рейтинги, Картинки, Нижняя реклама",,0,0
"japanische tattoos deutschland",2,40,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Related searches",8,0.49,0.41
"japanischer tätowierer",2,30,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",6,0.33,0.24
"japanische tätowierer",2,30,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",7,0.33,0.24
"japanese tattoo artist germany",4,30,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Related searches, Изображения",6,0.55,0.3
"tattoo studio japan style deutschland",4,30,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Related searches",6,0.39,0.72
"traditional tattoo münchen",11,30,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Искать здесь, Related searches",7,0.49,0.47
"japanische tattoos münchen",7,20,"L, C","Результаты карт, Рейтинги, Искать здесь, Related searches",13,0.44,0.5
"old school tattoo münchen",6,10,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Искать здесь, Related searches",6,0,0
"asiatische tattoos deutschland",2,10,"L, C","Результаты карт, Рейтинги, Похожие запросы, Картинки",6,0,0
"japan tattoo münchen",7,10,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Искать здесь, Related searches",13,0,0.34
"japanese tattoo germany",3,10,"L, C","Результаты карт, Рейтинги, Картинки, Related searches",6,0.21,0.33
