"Ключевое слово",Сложность,Частотность,"Интент запроса","Элементы поиска",Релевантность,CPC,Конкуренция
"linework tattoo münchen",11,10,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы",,0,0.4
"tattoo münchen",41,2400,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",10,0.74,0.48
"tattoo preise",26,1600,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.47,0.28
"was kosten kleine tattoos",7,590,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.39,0.16
"wie teuer ist tattoo",4,590,I,"Блоки с ответами, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",8,0.4,0.15
"was kostet kleines tattoo",7,590,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.39,0.16
"prime tattoo",3,590,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",6,0.6,0.11
"tattoo preis",10,410,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.47,0.28
"munich tattoo",7,320,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Искать здесь, Related searches, Изображения",6,0.76,0.56
"tattoo kosten oberarm",7,320,I,"Рейтинги, Видео, Похожие запросы, AI Overview, Related searches",6,0.41,0.11
"kosten oberarm tattoo",10,320,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",9,0.41,0.11
"tattoo munich",11,320,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",7,0.76,0.56
"was kostet ein oberarm tattoo",10,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",9,0.4,0.16
"was kostet tattoo oberarm",9,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",9,0.4,0.16
"was kostet ein tattoo auf dem oberarm",9,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.4,0.16
"tattoo kosten schrift",9,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",9,0.32,0.12
"tattoo kosten schriftzug",11,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",8,0.32,0.12
"unterarm tattoo preis",9,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.45,0.13
"tätowierungen kosten",4,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.4,0.2
"tattoo schriftzug kosten",9,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.32,0.12
"kleine tattoos preise",5,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.51,0.15
"tattoo klein preis",10,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.51,0.15
"was kosten tätowierungen",6,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",8,0.36,0.21
"preis für kleines tattoo",9,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.51,0.15
"kosten schriftzug tattoo",7,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.32,0.12
"200 euro tattoo preisbeispiele",8,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",10,0,0.01
"was kostet tätowieren",6,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, AI Overview, Related searches",9,0.36,0.21
"was kostet eine tätowierung",4,210,I,"Блоки с ответами, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",6,0.36,0.21
"preis tattoo unterarm",9,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.45,0.13
