"Ключевое слово",Сложность,Частотность,"Интент запроса","Элементы поиска",Релевантность,CPC,Конкуренция
"tattoo freising",6,260,"L, C","Результаты карт, Рейтинги, Похожие запросы, Картинки, Искать здесь",,0.49,0.32
"tattoo kosten",34,2400,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.43,0.2
"tattoo preise",26,1600,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",10,0.47,0.28
"was kostet ein kleines tattoo",7,590,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.39,0.16
"wie teuer ist ein tattoo",9,590,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.4,0.15
"was kosten kleine tattoos",7,590,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",8,0.39,0.16
"tattoo wie teuer",7,590,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.4,0.15
"wie teuer ist tattoo",4,590,I,"Блоки с ответами, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",11,0.4,0.15
"was kostet kleines tattoo",7,590,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",8,0.39,0.16
"wie teuer tattoo",8,590,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.4,0.15
"tattoo klein kosten",8,480,I,"Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.42,0.17
"kosten tattoo klein",8,480,I,"Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.42,0.17
"tattoo preis",10,410,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",8,0.47,0.28
"tattoo oberarm kosten",12,320,I,"Видео, Похожие запросы, Картинки, AI Overview",6,0.41,0.11
"tattoo kosten oberarm",7,320,I,"Рейтинги, Видео, Похожие запросы, AI Overview, Related searches",8,0.41,0.11
"kosten oberarm tattoo",10,320,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",12,0.41,0.11
"preise tattoo",4,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.43,0.21
"preis tattoo",7,260,C,"Рейтинги, Видео, Похожие запросы, Картинки, Товары по запросу, AI Overview, Related searches",6,0.43,0.21
"was kosten tattoos",8,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.4,0.18
"rücken tattoo kosten",8,260,I,"Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.44,0.15
"was kostet ein oberarm tattoo",10,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",10,0.4,0.16
"tattoo rücken kosten",8,260,I,"Рейтинги, Видео, Похожие запросы, AI Overview, Related searches",6,0.44,0.15
"15 cm tattoo preis",7,260,C,"Рейтинги, Видео, Похожие запросы, Картинки, Товары по запросу, AI Overview, Related searches",6,0.69,0.13
"preisliste tattoo bilder mit preis",4,260,I,"Рейтинги, Видео, Похожие запросы, AI Overview, Related searches",7,0,0.02
"wie teuer sind tattoos",8,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.38,0.17
"kosten rückentattoo",11,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.44,0.15
"kosten tattoo rücken",7,260,I,"Рейтинги, Видео, Похожие запросы, AI Overview, Related searches",7,0.44,0.15
"was kostet tattoo oberarm",9,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",12,0.4,0.16
"tattoo kosten 20 cm",8,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0.52,0.07
"was kostet ein tattoo auf dem oberarm",9,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",8,0.4,0.16
"tätowierung kosten",6,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",8,0.4,0.2
"tätowieren kosten",6,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.4,0.2
"tattoo kosten schrift",9,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",10,0.32,0.12
"tattoo kosten schriftzug",11,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",10,0.32,0.12
"unterarm tattoo preis",9,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",9,0.45,0.13
"tätowierungen kosten",4,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",9,0.4,0.2
"tattoo schriftzug kosten",9,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",9,0.32,0.12
"kleine tattoos preise",5,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",9,0.51,0.15
"tattoo klein preis",10,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",10,0.51,0.15
"was kosten tätowierungen",6,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",10,0.36,0.21
"preis für kleines tattoo",9,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",9,0.51,0.15
"kosten schriftzug tattoo",7,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",8,0.32,0.12
"200 euro tattoo preisbeispiele",8,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",13,0,0.01
"tätowierer kosten",5,210,I,"Блоки с ответами, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",6,0.4,0.2
"was kostet tätowieren",6,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, AI Overview, Related searches",11,0.36,0.21
"was kostet eine tätowierung",4,210,I,"Блоки с ответами, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",9,0.36,0.21
"schrift tattoo kosten",12,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",8,0.32,0.12
