"Ключевое слово",Сложность,Частотность,"Интент запроса","Элементы поиска",Релевантность,CPC,Конкуренция
"tattoo münchen",41,2400,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки",,0.74,0.48
"tempel münchen",65,2900,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Related searches",13,0.65,0.2
"tattoo bayern",11,590,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",13,0,0.02
"fineline tattoo münchen",10,590,"L, C","Рейтинги, Видео, Похожие запросы, Картинки, GBP, AI Overview, Related searches",7,0.54,0.59
"wie teuer ist tattoo",4,590,I,"Блоки с ответами, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",6,0.4,0.15
"prime tattoo",3,590,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",6,0.6,0.11
"unlimited bodyart tattoos piercing tattoostudio münchen",7,590,"L, N","Рейтинги, Ссылки сайта, Видео, Похожие запросы, Картинки, GBP, Related searches",6,0,0.03
"tempel piercing",13,390,"L, N","Результаты карт, Рейтинги, Ссылки сайта, Видео, Картинки, Искать здесь, Related searches",6,0.83,0.16
"munich tattoo",7,320,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Искать здесь, Related searches, Изображения",13,0.76,0.56
"tattoo bayern münchen",10,320,I,"Рейтинги, Видео, Похожие запросы, Картинки, Related searches",7,0,0.03
"tattoo munich",11,320,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",30,0.76,0.56
"temple tattoo",11,260,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",9,0.41,0.05
"was kostet tattoo oberarm",9,260,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.4,0.16
"tempel tattoo",15,210,"L, N","Результаты карт, Рейтинги, Ссылки сайта, Видео, Похожие запросы, Картинки, Related searches",12,0.39,0.13
"tattoo kosten schrift",9,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.32,0.12
"was kosten tätowierungen",6,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0.36,0.21
"200 euro tattoo preisbeispiele",8,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",7,0,0.01
"piercing pasing",13,210,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",6,0.72,0.6
"was kostet tätowieren",6,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, AI Overview, Related searches",7,0.36,0.21
"kosten tätowierung",5,210,I,"Блоки с ответами, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",6,0.4,0.2
"walk in tattoo münchen",18,170,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",13,0.34,0.68
"fineline tattoos münchen",7,170,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",7,0.56,0.49
"bestes tattoo studio münchen",12,170,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",16,0.56,0.65
"fine line tattoo münchen",7,170,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",6,0.56,0.49
"fine line tattoos münchen",5,170,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",8,0.56,0.49
"piercing münchen",14,140,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",10,0.69,0.59
"piercings münchen",12,140,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",9,0.69,0.59
"tattoo artist münchen",13,140,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",22,0.49,0.53
"pasing tattoo",16,140,"L, N","Результаты карт, Рейтинги, Ссылки сайта, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",9,0.56,0.52
"tattoo artists munich",11,140,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Искать здесь, Related searches",13,0.49,0.53
"tattoo artist munich",12,140,"L, C","Результаты карт, Рейтинги, Видео, Картинки, Искать здесь, Related searches",12,0.49,0.53
"tattoo pasing",12,140,"L, N","Рейтинги, Ссылки сайта, Видео, Похожие запросы, Картинки, GBP, Related searches",10,0.56,0.52
"tattoo münchen fine line",9,140,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Related searches",7,0.51,0.52
"münchen piercing",15,140,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",12,0.69,0.59
"tattoo tempel",14,110,"L, N","Результаты карт, Рейтинги, Ссылки сайта, Видео, Картинки, Related searches",10,0,0.15
"bester tätowierer münchen",11,90,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",14,0.51,0.71
"piercing shop münchen",11,90,"L, T","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Нижняя реклама, Искать здесь, Related searches",7,0.55,0.83
"beste tattoo studios münchen",12,90,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",20,0.63,0.61
"munich tattoo shops",14,90,"L, T","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",21,0.51,0.74
"piercing münchen innenstadt",8,90,"L, C","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Искать здесь, Related searches",11,0.73,0.67
